patch_cells,patch_arcmin,hole_arcmin,field,sample,gaussian_mse,gaussian_corr,void_auc,overdense_auc,peak_auc
8,3.75,1.875,elais_s1,real,0.7793332128117112,0.13890198241315102,0.8822055137844611,0.655819774718398,0.7708333333333334
8,3.75,1.875,elais_s1,cell_permutation,0.7417334675182535,0.0014209431275486557,0.6379310344827586,0.5620512820512821,0.3448275862068966
8,3.75,1.875,elais_s1,matched_shift,0.8500523090567054,-0.05879165214682948,0.43859649122807015,0.5632040050062579,0.5083333333333333
8,3.75,1.875,south_045m30,real,0.7884113868485454,0.06567401462446901,0.628415300546448,0.6174358974358974,0.5258620689655172
8,3.75,1.875,south_045m30,cell_permutation,0.757202821166298,0.07799195378828605,0.6120218579234973,0.4262990455991516,0.6065162907268171
8,3.75,1.875,south_045m30,matched_shift,0.8135518075328718,0.0348739973961019,0.5191256830601093,0.38974358974358975,0.5287356321839081
8,3.75,1.875,south_075m45,real,1.2008434884725943,0.0746838261603822,0.5866209262435678,0.6512315270935961,0.6502923976608187
8,3.75,1.875,south_075m45,cell_permutation,1.1105187147137754,-0.032377697565169075,0.4885057471264368,0.4791666666666667,0.3695652173913043
8,3.75,1.875,south_075m45,matched_shift,1.2275065405063539,0.013824872013814656,0.5471698113207547,0.48374384236453205,0.5345029239766081
8,3.75,1.875,south_105m35,real,1.0635913498704408,0.1242259702136741,0.6870748299319728,0.772215269086358,0.6510416666666667
8,3.75,1.875,south_105m35,cell_permutation,1.267850254371497,0.00033614026401698635,0.58147512864494,0.5302564102564102,0.42604166666666665
8,3.75,1.875,south_105m35,matched_shift,1.1609002883426274,-0.07634952888860766,0.39047619047619053,0.3642052565707134,0.4604166666666667
8,3.75,1.875,south_135m25,real,1.0536211254681405,0.04963288489592607,0.6979591836734694,0.6244897959183673,0.548885077186964
8,3.75,1.875,south_135m25,cell_permutation,0.9674378707193779,-0.009707603851005664,0.5185714285714287,0.3515625,0.5333333333333332
8,3.75,1.875,south_135m25,matched_shift,1.0363724284922506,0.014352931150588225,0.4897959183673469,0.4816326530612245,0.6603773584905661
