field,patch_y,patch_x,z1,z2,gmm3
des_315m45,5,5,0.2944888049628271,1.0733587781928602,2
des_315m45,5,6,2.152443788503523,-1.1038437511832024,1
des_315m45,5,7,1.880291277639727,-0.23457080934485827,1
des_315m45,6,0,2.3095472543516467,-0.18793875177986064,1
des_315m45,6,1,2.419661576799044,-1.1034081721451585,1
des_315m45,6,2,1.1841663346202151,1.2087949428522626,2
des_315m45,6,3,1.2003395835049337,0.32878189145312753,2
des_315m45,6,4,-1.4614197377349574,-0.04147831734834506,0
des_315m45,6,5,-1.2870846946417,-0.847013762564536,0
des_315m45,6,6,2.30009311181116,0.8209946798087782,2
des_315m45,6,7,2.0671748286772185,3.155137534454036,2
des_315m45,7,0,-1.2600565468378524,1.8905369641324952,2
des_315m45,7,1,0.19303416377365862,1.8378893501415632,2
des_315m45,7,2,-1.164267324804828,0.18918833897982154,0
des_315m45,7,3,-0.15178452094875494,-0.643274214952969,0
des_315m45,7,4,0.9148650647181071,-2.6504737198707877,1
des_315m45,7,5,0.5694695563468024,0.4515873084374764,2
des_315m45,7,6,1.1139962481862002,-0.8331470790204221,1
des_315m45,7,7,-1.9686862111681314,2.2078551718690425,2
south_330m45,0,0,0.9689282017508881,-0.8092101962850385,0
south_330m45,0,1,0.3730140161495445,-0.5223376652652852,0
south_330m45,0,2,-0.44065300518062933,-0.04630619074996499,0
south_330m45,0,3,0.3345290699838019,1.9630608515810761,2
south_330m45,0,4,-0.9422164048186831,-0.1513311321535043,0
south_330m45,0,5,0.19136474202149967,0.6164352411538798,2
south_330m45,0,6,1.9665639982317846,-1.9976417432283773,1
south_330m45,0,7,-1.1260267022733088,0.841677391922731,0
south_330m45,1,0,1.5395302159290019,1.2373937800485786,2
south_330m45,1,1,-0.4208121805649102,0.24778360624931933,0
south_330m45,1,2,2.8015335438838385,1.9861441522491836,2
south_330m45,1,3,2.924462685035968,0.9331065750079443,1
south_330m45,1,4,2.9707777050511295,-0.0063883758602224505,1
south_330m45,1,5,3.3512767040846523,0.5650602930137052,1
south_330m45,1,6,1.326337457653319,0.8784886483185972,2
south_330m45,1,7,1.3182189155400934,0.29837002910323185,2
south_330m45,2,0,3.778762602252195,-0.8265502517471645,1
south_330m45,2,1,1.1991455752289681,-0.4829352193945805,1
south_330m45,2,2,1.7708528021121532,-1.702194592570423,1
south_330m45,2,3,3.3664258533539657,0.7113737331429473,1
south_330m45,2,4,-0.2115805232561333,1.2678385729141937,2
south_330m45,2,5,1.03608355200956,1.1145910956120093,2
south_330m45,2,6,0.9354776529948552,1.990725737312046,2
south_330m45,2,7,-1.131126208688574,-0.9826253438985117,0
south_330m45,3,0,-1.4340591014687887,0.188893627748142,0
south_330m45,3,1,-0.24590543734525983,-0.5823094694047162,0
south_330m45,3,2,-1.8228616336256487,-0.28334942638872984,0
south_330m45,3,3,0.5767366983018587,-1.572375856815466,0
south_330m45,3,4,3.0109503830092708,1.228253200070693,1
south_330m45,3,5,0.04680231571529837,-2.3349367592643957,0
south_330m45,3,6,-1.684763301202792,1.2784634666571473,0
south_330m45,3,7,-0.9985622765485961,0.7454721123144175,0
south_330m45,4,0,-4.220261271689103,-1.4469810463996104,0
south_330m45,4,1,-1.9900160326483516,-0.7860051279231766,0
south_330m45,4,2,-1.7636061182577627,0.22608280211744536,0
