selection,field,sample,void_auc,overdense_auc,peak_auc,gaussian_corr,gaussian_mse
maskbits0,south_105m35,real,0.7560386473429951,0.7278645833333334,0.603448275862069,0.4286593913607102,0.8537738489256842
maskbits0,south_105m35,matched_shift,0.4891304347826087,0.4817708333333333,0.367816091954023,0.05238613679548552,1.0792982266730957
maskbits0,south_135m25,real,0.7782312925170068,0.6518218623481782,0.646135265700483,0.3833720173411841,0.7870530374456504
maskbits0,south_135m25,matched_shift,0.5374149659863945,0.5121457489878543,0.5591787439613527,-0.011456345910894743,0.9571598714219756
maskbits0,south_210m35,real,0.7414141414141413,0.6385714285714287,0.8067796610169492,0.24248670429082037,0.6698981767480807
maskbits0,south_210m35,matched_shift,0.5131313131313131,0.4171428571428572,0.6372881355932204,0.017665815470000373,0.7226541141816234
maskbits0,des_315m45,real,0.8888888888888888,0.6588541666666667,0.3773584905660377,0.3198393272127614,0.8084952788046489
maskbits0,des_315m45,matched_shift,0.3313131313131313,0.5182291666666667,0.5317324185248713,-0.04293469264754141,0.9637718511537715
maskbits0,south_330m45,real,0.7708333333333334,0.7925925925925925,0.6942355889724311,0.4777256598735464,0.7846942442407567
maskbits0,south_330m45,matched_shift,0.5188492063492064,0.7388888888888889,0.5363408521303258,0.025953289131413627,1.0932801062002486
maskbits0,south_345m30,real,0.7632933104631218,0.8637873754152824,0.7149321266968326,0.32501904682239807,0.6110603066447258
maskbits0,south_345m30,matched_shift,0.6895368782161235,0.47286821705426363,0.6123680241327301,0.06107169542674004,0.6929675670177337
allbands,cosmos,real,0.9005128205128206,0.70703125,0.5060908084163898,0.5267154172783272,1.4040694259734412
allbands,cosmos,matched_shift,0.5210256410256411,0.5416666666666666,0.46622369878183834,0.009474108096914532,2.0711384481802235
allbands,xmm_lss,real,0.7125,0.7109375,0.6850649350649352,0.20255955723037133,1.1442076416321403
allbands,xmm_lss,matched_shift,0.5270833333333333,0.4088541666666667,0.4696969696969697,0.037288148967994324,1.2116866585533232
allbands,cdfs,real,0.67578125,0.7628205128205128,0.6190476190476191,0.10512222721142639,1.064135511777331
allbands,cdfs,matched_shift,0.3567708333333333,0.4006410256410256,0.5149501661129567,0.00017509709206190265,1.0625738842652956
allbands,elais_s1,real,0.844611528822055,0.5924479166666666,0.7186440677966102,0.14058655885032137,0.7127350596221247
allbands,elais_s1,matched_shift,0.46616541353383456,0.5364583333333333,0.576271186440678,-0.0386659391823549,0.74959370701249
allbands,south_045m30,real,0.7291666666666666,0.593576965669989,0.45758928571428575,0.08165396005892536,0.710485084442076
allbands,south_045m30,matched_shift,0.4166666666666667,0.4174972314507198,0.5401785714285714,0.0020771867045929456,0.7199542732979651
