field,motif,features,auc
south_345m30,void,ring_mean_gradient,0.7852216748768472
south_345m30,void,four_sides,0.7330049261083744
south_345m30,void,full8,0.7655172413793103
south_345m30,overdense,ring_mean,0.9306184012066365
south_345m30,overdense,ring_mean_std,0.9381598793363499
south_345m30,overdense,ring_mean_gradient,0.9215686274509804
south_345m30,overdense,four_sides,0.8974358974358975
south_345m30,overdense,full8,0.9155354449472097
south_345m30,peak,ring_mean,0.7388392857142856
south_345m30,peak,ring_mean_std,0.6674107142857143
south_345m30,peak,ring_mean_gradient,0.75
south_345m30,peak,four_sides,0.6517857142857143
south_345m30,peak,full8,0.6473214285714286
