mask,field,sample,method,hidden_fraction,mse,corr
stripe25,cosmos,matched_shift,pca,0.25,1.5032158215294673,0.0070215491523818695
stripe25,cosmos,matched_shift,knn20,0.25,0.9816125009198269,-0.005253004356676661
stripe25,xmm_lss,real,mean,0.25,1.355200690684702,-0.02310703942156194
stripe25,xmm_lss,real,gaussian,0.25,1.3452934444904545,0.16751172353682092
stripe25,xmm_lss,real,pca,0.25,1.8430687020467027,0.06975991505711124
stripe25,xmm_lss,real,knn20,0.25,1.3534235694295225,0.12325760083644312
stripe25,xmm_lss,matched_shift,mean,0.25,1.355200690684702,-0.02310703942156194
stripe25,xmm_lss,matched_shift,gaussian,0.25,1.425092239739219,0.02370197289619105
stripe25,xmm_lss,matched_shift,pca,0.25,2.0358569496449803,0.03669340446605308
stripe25,xmm_lss,matched_shift,knn20,0.25,1.3940421649700327,0.01187108578017508
stripe25,cdfs,real,mean,0.25,1.1577233495518453,0.012651520623745057
stripe25,cdfs,real,gaussian,0.25,1.2075856681082477,0.09079169818849281
stripe25,cdfs,real,pca,0.25,1.721816902491426,0.08094765183633378
stripe25,cdfs,real,knn20,0.25,1.1919045779530013,0.059149755099330015
stripe25,cdfs,matched_shift,mean,0.25,1.1577233495518453,0.012651520623745057
stripe25,cdfs,matched_shift,gaussian,0.25,1.212174692462098,0.03295092130376395
stripe25,cdfs,matched_shift,pca,0.25,1.8650250596020093,0.011428728910424832
stripe25,cdfs,matched_shift,knn20,0.25,1.1958190816432244,0.013659735610906078
stripe25,elais_s1,real,mean,0.25,0.7907365988295604,-0.016134091419496246
stripe25,elais_s1,real,gaussian,0.25,0.7681337210471547,0.17522203230105
stripe25,elais_s1,real,pca,0.25,1.0280519266930004,0.0908447356515373
stripe25,elais_s1,real,knn20,0.25,0.7833737590005723,0.09805933749445216
stripe25,elais_s1,matched_shift,mean,0.25,0.7907365988295604,-0.016134091419496246
stripe25,elais_s1,matched_shift,gaussian,0.25,0.851030785275577,-0.029589131932122932
