field,motif,observed_ring_auc,selection_r_auc,selection_griz_auc,count_r_r2,count_griz_r2,constant_residual_rho,selection_r_residual_rho,selection_griz_residual_rho,selection_griz_shift_rho
f04_ra180_m05,void,0.7790018148820327,0.6170598911070771,0.5912883847556261,-0.007977526716667516,-0.009711290756520663,0.42203941273424784,0.3989818276425136,0.36945208424484236,-0.05202798253694152
f04_ra180_m05,overdense,0.7544444444444445,0.6955555555555556,0.6322222222222222,-0.007977526716667516,-0.009711290756520663,0.42203941273424784,0.3989818276425136,0.36945208424484236,-0.05202798253694152
f04_ra180_m05,peak,0.6253717472118959,0.49144981412639405,0.5204460966542751,-0.007977526716667516,-0.009711290756520663,0.42203941273424784,0.3989818276425136,0.36945208424484236,-0.05202798253694152
f05_ra276_m55,void,0.5928571428571429,0.6464285714285715,0.7321428571428572,-0.0129227188556007,-0.034749573318965554,0.2568627450980392,0.36176470588235293,0.3549019607843137,-0.15980392156862744
f05_ra276_m55,overdense,0.7176470588235294,0.7588235294117647,0.6882352941176471,-0.0129227188556007,-0.034749573318965554,0.2568627450980392,0.36176470588235293,0.3549019607843137,-0.15980392156862744
f05_ra276_m55,peak,0.59375,0.453125,0.453125,-0.0129227188556007,-0.034749573318965554,0.2568627450980392,0.36176470588235293,0.3549019607843137,-0.15980392156862744
f06_ra072_m05,void,0.8020833333333334,0.5791666666666667,0.44166666666666665,-0.0008802999903911866,0.001825032912991631,0.42905405405405406,0.3749110461510077,0.3751137635467981,-0.07406765017793594
f06_ra072_m05,overdense,0.7534883720930233,0.6465116279069767,0.5944186046511628,-0.0008802999903911866,0.001825032912991631,0.42905405405405406,0.3749110461510077,0.3751137635467981,-0.07406765017793594
f06_ra072_m05,peak,0.6745283018867925,0.5011792452830189,0.5070754716981132,-0.0008802999903911866,0.001825032912991631,0.42905405405405406,0.3749110461510077,0.3751137635467981,-0.07406765017793594
f07_ra216_m05,void,0.7042440318302388,0.6183309549102062,0.5484700095549198,-0.001571910930392218,-0.003215628104221491,0.3350423803209881,0.3203685445238249,0.28815359945467004,-0.027792015806127096
f07_ra216_m05,overdense,0.6789156626506023,0.5949638554216867,0.5183132530120482,-0.001571910930392218,-0.003215628104221491,0.3350423803209881,0.3203685445238249,0.28815359945467004,-0.027792015806127096
f07_ra216_m05,peak,0.6586134453781513,0.5821678321678321,0.604895104895105,-0.001571910930392218,-0.003215628104221491,0.3350423803209881,0.3203685445238249,0.28815359945467004,-0.027792015806127096
f08_ra336_m25,void,0.6439628482972136,0.5340557275541795,0.5263157894736842,0.007523415597396555,0.004426551625984265,0.37208688514115795,0.3414197071126046,0.322619276158815,-0.03706395136466923
f08_ra336_m25,overdense,0.643865743780738,0.5604606525911708,0.5451055662188099,0.007523415597396555,0.004426551625984265,0.37208688514115795,0.3414197071126046,0.322619276158815,-0.03706395136466923
f08_ra336_m25,peak,0.5600517464424321,0.5510996119016817,0.5902975420439845,0.007523415597396555,0.004426551625984265,0.37208688514115795,0.3414197071126046,0.322619276158815,-0.03706395136466923
f09_ra216_p15,void,0.680871212121212,0.6145833333333333,0.6306818181818182,0.007799773851138624,0.004818826099062479,0.31555227747873585,0.2970203327171904,0.2883844732907151,-0.02272135135135137
f09_ra216_p15,overdense,0.6926136363636364,0.521780303030303,0.540719696969697,0.007799773851138624,0.004818826099062479,0.31555227747873585,0.2970203327171904,0.2883844732907151,-0.02272135135135137
f09_ra216_p15,peak,0.6293680297397769,0.623606889564337,0.669386046000413,0.007799773851138624,0.004818826099062479,0.31555227747873585,0.2970203327171904,0.2883844732907151,-0.02272135135135137
f10_ra240_m35,void,0.6331048134950715,0.40104449648770023,0.3751417233560091,-0.005310638502363751,-0.0014031308876618627,0.5507227076892964,0.5819861247472041,0.5546338971239316,0.15516525846786385
f10_ra240_m35,overdense,0.7557736720554272,0.7095842956120093,0.6558891454965359,-0.005310638502363751,-0.0014031308876618627,0.5507227076892964,0.5819861247472041,0.5546338971239316,0.15516525846786385
f10_ra240_m35,peak,0.639799749687109,0.552252816020025,0.6021902377972465,-0.005310638502363751,-0.0014031308876618627,0.5507227076892964,0.5819861247472041,0.5546338971239316,0.15516525846786385
f11_ra060_m35,void,0.7162837162837162,0.5523648648648649,0.6030405405405406,0.005217345731658329,0.006680734434709735,0.3471384357931546,0.317109916283215,0.30945787224324476,-0.09622664257028112
f11_ra060_m35,overdense,0.7551401869158878,0.6987383177570093,0.628411214953271,-0.005217345731658329,0.006680734434709735,0.3471384357931546,0.317109916283215,0.30945787224324476,-0.09622664257028112
f11_ra060_m35,peak,0.6197916666666667,0.5297619047619048,0.6507936507936508,0.005217345731658329,0.006680734434709735,0.3471384357931546,0.317109916283215,0.30945787224324476,-0.09622664257028112
