field,sample,gaussian_corr,gaussian_mse,void_ring_mean_auc,void_full8_auc,overdense_ring_mean_auc,overdense_full8_auc,peak_ring_mean_auc,peak_full8_auc
f12_ra312_m05,real,0.17519588173727094,0.7943339791282936,0.5727891156462586,0.580952380952381,0.7055555555555555,0.6722222222222223,0.7423728813559322,0.711864406779661
f12_ra312_m05,matched_shift,-0.012842375457368741,0.8170883495107859,0.6217687074829932,0.6653061224489796,0.5148148148148148,0.6537037037037038,0.43050847457627117,0.39322033898305087
f13_ra228_p05,real,0.29177512465914207,1.0150719259862067,0.7717391304347825,0.7729468599033816,0.7729468599033816,0.7729468599033816,0.6655592469545958,0.6854928017718714
f13_ra228_p05,matched_shift,-0.06638622672006542,1.1475439617918797,0.4528985507246377,0.5036231884057971,0.4673913043478261,0.4553140096618357,0.5625692137320044,0.48504983388704326
f14_ra264_m05,real,0.4669736451655355,0.67982558194987,0.8572916666666667,0.8687499999999999,0.9693181818181819,0.9715909090909091,0.8407407407407407,0.837037037037037
f14_ra264_m05,matched_shift,-0.004051425304739721,0.8821802172375179,0.4375,0.41874999999999996,0.4727272727272727,0.4454545454545455,0.5888888888888889,0.5740740740740741
f15_ra144_m25,real,0.16322022219842225,1.0722768020159597,0.5719298245614035,0.5847953216374269,0.6892911010558069,0.6742081447963801,0.6642512077294687,0.6751207729468599
f15_ra144_m25,matched_shift,-0.0010071839244128879,1.098551756322714,0.4,0.4491228070175438,0.2820512820512821,0.5414781297134239,0.3272946859903382,0.37077294685990336
f16_ra288_m25,real,0.47880998090045374,0.750112970234055,0.8716861081654295,0.8844114528101802,0.8898623279098874,0.8998748435544431,0.8333333333333334,0.7944444444444444
f16_ra288_m25,matched_shift,-0.03368537151103846,0.9937976501988037,0.26299045599151644,0.22799575821845175,0.4618272841051314,0.44555694618272834,0.5074074074074074,0.5203703703703704
f17_ra048_m15,real,0.11277916773437782,0.7440819805959402,0.7120535714285714,0.7299107142857143,0.5832290362953692,0.5782227784730913,0.5373737373737374,0.606060606060606
f17_ra048_m15,matched_shift,-0.05465682608235485,0.7511401847829424,0.40848214285714285,0.3080357142857143,0.6170212765957446,0.47183979974968715,0.604040404040404,0.5696969696969697
f18_ra096_m15,real,0.11078704040219951,1.0843601563528449,0.7719298245614035,0.7819548872180451,0.7076023391812866,0.7274853801169591,0.578125,0.6083333333333333
f18_ra096_m15,matched_shift,-0.020123458299701292,1.087294036441817,0.2706766917293233,0.25814536340852134,0.4233918128654971,0.583625730994152,0.478125,0.5406249999999999
f19_ra132_p25,real,0.1861663557087561,1.126308402301309,0.7705078125,0.7822265625,0.8909090909090909,0.898989898989899,0.7035256410256411,0.6810897435897436
f19_ra132_p25,matched_shift,-0.006806296517548149,1.2120791700891724,0.6259765625,0.47265625,0.4666666666666667,0.4727272727272727,0.6378205128205129,0.5032051282051282
f20_ra120_p25,real,0.09472220542291142,0.9401898494337891,0.5260243632336654,0.5492801771871538,0.55,0.5796296296296297,0.49444444444444446,0.5074074074074074
f20_ra120_p25,matched_shift,-0.01104048730281144,0.9396955657245705,0.46843853820598,0.5094130675526024,0.45555555555555555,0.42777777777777776,0.5055555555555555,0.537037037037037
f21_ra084_p05,real,0.11215893725481531,1.5045074389896322,0.672090112640801,0.6520650813516896,0.7958833619210978,0.8010291595197255,0.5856410256410256,0.5651282051282052
f21_ra084_p05,matched_shift,0.0027173732538317975,1.5189671058672092,0.4730913642052566,0.4317897371714644,0.4219554030874786,0.5866209262435678,0.4841025641025641,0.5825641025641026
f22_ra036_p05,real,0.4977715848492474,0.6569369588059778,0.983729662077597,0.9762202753441802,0.9029411764705882,0.9098039215686275,0.8360450563204005,0.8410513141426783
f22_ra036_p05,matched_shift,-0.01189360776864038,0.903081293202557,0.509386733416771,0.4518147684605757,0.4225490196078431,0.40980392156862744,0.42928660826032544,0.4418022528160201
f23_ra012_m35,real,0.19001330807015065,0.8702974035511747,0.7608225108225108,0.7673160173160174,0.8505050505050505,0.8666666666666667,0.6666666666666666,0.6101010101010101
f23_ra012_m35,matched_shift,-0.057154112090718946,0.9350808771392173,0.47619047619047616,0.41883116883116883,0.32525252525252524,0.37575757575757573,0.5272727272727273,0.5212121212121212
f24_ra012_m55,real,0.15364973261419065,0.9060437757364967,0.828125,0.8236607142857143,0.7631578947368421,0.7692307692307693,0.5524920466595971,0.5811240721102863
f24_ra012_m55,matched_shift,-0.02598433069315862,0.9550391613985239,0.46205357142857145,0.5133928571428572,0.5303643724696355,0.6437246963562753,0.5630965005302226,0.4305408271474019
f25_ra228_m35,real,0.13274408421281236,0.8800985427182733,0.7274655355249204,0.7380699893955461,0.9223057644110275,0.9448621553884713,0.5866209262435678,0.5180102915951972
f25_ra228_m35,matched_shift,0.01995362265759932,0.8954802139896177,0.6023329798515377,0.5429480381760339,0.7493734335839599,0.7593984962406015,0.5180102915951973,0.38593481989708406
f26_ra312_p05,real,0.16873792051415618,0.6643466620162267,0.548076923076923,0.5833333333333334,0.698051948051948,0.685064935064935,0.25313283208020054,0.1829573934837093
f26_ra312_p05,matched_shift,0.017309267730166316,0.6887835498028936,0.4663461538461538,0.3942307692307693,0.47619047619047616,0.5616883116883117,0.5413533834586466,0.3984962406015038
f27_ra060_m05,real,0.23033340789215107,1.0185044129234835,0.8719806763285024,0.8780193236714977,0.7496871088861077,0.7471839799749687,0.7174479166666666,0.7122395833333333
f27_ra060_m05,matched_shift,-0.05464136322372033,1.0972867587428747,0.5084541062801933,0.45410628019323673,0.44555694618272845,0.41051314142678347,0.5872395833333333,0.46093750000000006
f28_ra192_p05,real,0.14228758997421267,1.1449195944311399,0.7086999022482894,0.7478005865102639,0.6852678571428571,0.703125,0.6003430531732419,0.5814751286449399
f28_ra192_p05,matched_shift,-0.0033361866491783115,1.1990405053406838,0.4682306940371456,0.4330400782013686,0.4419642857142857,0.5625,0.45969125214408235,0.45969125214408235
f29_ra312_m25,real,0.2626839324044102,0.6579826680572436,0.8222778473091364,0.8423028785982477,0.8147321428571429,0.8392857142857143,0.33870967741935487,0.4838709677419355
f29_ra312_m25,matched_shift,0.030680801406005875,0.7135899551862984,0.5982478097622028,0.5644555694618273,0.3482142857142857,0.40625,0.7741935483870969,0.8064516129032258
f30_ra000_m45,real,0.19413117711830288,0.9405142309322239,0.6852678571428571,0.7075892857142857,0.8051282051282052,0.7969230769230771,0.7929125138427463,0.7275747508305648
f30_ra000_m45,matched_shift,0.041076857058479375,1.0025202607037635,0.5245535714285714,0.46875,0.4861538461538462,0.562051282051282,0.47619047619047616,0.5802879291251384
f31_ra132_p05,real,0.2089320213944587,0.9813662960847463,0.7497076023391813,0.7497076023391812,0.7770154373927959,0.7684391080617495,0.737037037037037,0.762962962962963
f31_ra132_p05,matched_shift,-0.03348767926986305,1.0486207702495447,0.5286549707602339,0.4842105263157894,0.5437392795883362,0.5248713550600344,0.4925925925925926,0.40925925925925927
f32_ra024_m35,real,0.19271187887541638,0.7550324330181841,0.8051948051948051,0.8192640692640693,0.8446115288220551,0.837092731829574,0.8125,0.8208333333333334
f32_ra024_m35,matched_shift,0.03663584178441452,0.7770604561587626,0.4772727272727273,0.37445887445887444,0.6766917293233083,0.46867167919799496,0.3,0.22083333333333333
f33_ra348_p15,real,0.28345631916082736,0.8993518433935778,0.75,0.6987179487179488,0.8151041666666667,0.81640625,0.68359375,0.7317708333333334
f33_ra348_p15,matched_shift,-0.045957136939611655,1.0032377619085853,0.2003205128205128,0.2371794871794872,0.32942708333333337,0.30859375000000006,0.3489583333333333,0.3294270833333333
f34_ra000_m15,real,0.25987341497561306,0.6660672574255749,0.7388392857142858,0.7455357142857143,0.8816425120772947,0.8792270531400967,0.7828054298642534,0.7782805429864252
f34_ra000_m15,matched_shift,-0.05664893230781409,0.7500490488686152,0.4888392857142857,0.41517857142857145,0.4939613526570048,0.5495169082125604,0.45852187028657615,0.5279034690799398
f35_ra168_m25,real,0.326013971317791,0.9590110619418453,0.8635265700483091,0.8635265700483092,0.8303287380699895,0.83881230116649,0.7753001715265866,0.7461406518010292
f35_ra168_m25,matched_shift,0.03635396611547862,1.0779004902118257,0.5120772946859904,0.5024154589371981,0.4464475079533404,0.4782608695652173,0.32246998284734135,0.5094339622641509
f36_ra168_m45,real,0.15194120474615647,0.9373687985579493,0.49583333333333335,0.5083333333333333,0.6461038961038962,0.6396103896103896,0.5686274509803921,0.5912518853695324
f36_ra168_m45,matched_shift,0.044182422229433804,0.9580982051828896,0.2791666666666667,0.32499999999999996,0.34632034632034636,0.47186147186147187,0.4117647058823529,0.4524886877828055
f37_ra336_m55,real,0.1313846543107774,0.7190276740116378,0.6783479349186483,0.655819774718398,0.576271186440678,0.535593220338983,0.639344262295082,0.7377049180327869
f37_ra336_m55,matched_shift,-0.0065705023322603015,0.7308237972493872,0.5944931163954944,0.6007509386733417,0.735593220338983,0.6406779661016949,0.4043715846994535,0.6830601092896175
f38_ra084_m05,real,0.6113731216375204,0.37035013470114736,0.9260935143288085,0.9291101055806938,0.9018218623481782,0.9109311740890689,1.0,1.0
f38_ra084_m05,matched_shift,-0.02820224646142078,0.5955881815147329,0.526395173453997,0.4645550527903469,0.5516194331983806,0.5921052631578947,0.3650793650793651,0.9206349206349207
f39_ra084_m55,real,0.191545023140214,0.9690657140580136,0.7210144927536231,0.7306763285024155,0.7450980392156863,0.7405731523378583,0.6503401360544218,0.601360544217687
f39_ra084_m55,matched_shift,0.02631893328080364,0.9981769669704761,0.6473429951690821,0.605072463768116,0.5475113122171945,0.5701357466063348,0.3850340136054422,0.5224489795918368
f40_ra192_m35,real,0.19678998422545352,1.0403880000527586,0.894736842105263,0.9248120300751879,0.7074898785425101,0.7135627530364372,0.6785714285714286,0.7172619047619048
f40_ra192_m35,matched_shift,-0.002283106297880596,1.1229009778375998,0.5739348370927319,0.6165413533834586,0.4412955465587045,0.45951417004048584,0.47916666666666663,0.3918650793650793
f41_ra348_m25,real,0.3047985110050485,0.6481375470948829,0.8198830409356725,0.8035087719298245,0.7975986277873071,0.8233276157804459,0.2903225806451613,0.16129032258064513
f41_ra348_m25,matched_shift,0.016496619551570137,0.7215395882364368,0.4830409356725146,0.3894736842105263,0.5540308747855918,0.6089193825042881,0.3306451612903226,0.10483870967741937
f42_ra252_m05,real,0.20200405903598553,0.9275049306250633,0.6440422322775264,0.7088989441930618,0.746875,0.7645833333333334,0.7181286549707602,0.7005847953216374
f42_ra252_m05,matched_shift,0.03516963399449291,0.9723692974977817,0.3227752639517345,0.4675716440422323,0.5427083333333332,0.5802083333333333,0.5181286549707602,0.5391812865497075
f43_ra192_m05,real,0.23423703024365775,1.133884678813665,0.7181286549707602,0.7192982456140351,0.7585825027685492,0.7619047619047619,0.6712619300106044,0.6861081654294803
f43_ra192_m05,matched_shift,0.031733492419756,1.2056088005144359,0.5812865497076023,0.6257309941520468,0.5282392026578073,0.6290143964562569,0.5217391304347826,0.5153764581124072
f44_ra240_m25,real,0.10426010395394873,0.7915553072075117,0.5316091954022989,0.5775862068965517,0.6758448060075093,0.6795994993742178,0.5257142857142858,0.5528571428571427
f44_ra240_m25,matched_shift,0.0065224112313330244,0.7970040390248894,0.5747126436781609,0.5316091954022988,0.35544430538172717,0.4392991239048811,0.6528571428571428,0.5242857142857144
f45_ra216_p05,real,0.19655488612761945,0.8894573571179445,0.78125,0.7890625,0.7164502164502164,0.7251082251082251,0.67578125,0.6744791666666666
f45_ra216_p05,matched_shift,-0.0467885709796189,0.9361163706800204,0.4440104166666667,0.3802083333333333,0.5097402597402598,0.46645021645021645,0.5572916666666666,0.51953125
f46_ra000_p25,real,0.15365077863810264,0.7077092662716404,0.5125,0.5416666666666666,0.4913419913419914,0.49242424242424243,0.6350574712643678,0.5517241379310345
f46_ra000_p25,matched_shift,0.0034414857041412564,0.7412131629997465,0.36666666666666664,0.4083333333333333,0.5,0.5562770562770563,0.5,0.4827586206896552
f47_ra132_m15,real,0.20357092697569543,0.6694828346087542,0.8000000000000002,0.7942857142857144,0.837092731829574,0.7744360902255638,0.9180327868852459,0.7595628415300546
f47_ra132_m15,matched_shift,0.003236299294043708,0.7077146860449758,0.5257142857142857,0.4642857142857143,0.2882205513784461,0.48621553884711777,0.29508196721311475,0.3879781420765027
